id,paranoia_score,paranoia_group,kappa,mu02,mu03,omega2,omega3
A23VWLX98JNB0Z,0,low,0.578062006,-0.328697624,-0.28891857,1.156306479,-0.206611574
A23WCDJKAT0RN5,0.055555556,low,0.459070149,-0.148877436,-1.562319767,1.742209933,-0.81472396
A24ZP6TOKYBSQS,2.222222222,high,0.41454603,-0.093541052,0.550640639,2.248904088,-1.480160612
A26K8OELA8ZDI9,0.111111111,low,0.433510625,-0.799127124,-3.738546792,0.316251543,-1.301722599
A286W816CMIZL9,1.555555556,low,0.515928836,-0.009629729,0.856203648,0.355521954,-1.060840788
A2CWJRAEFZ44HU,0,low,0.446785069,-0.607383431,-3.047063111,0.685305164,-1.569953546
A2DLYBXZNSSJ4S,0.722222222,high,0.603468073,0.004800137,1.002822246,-1.887781405,-1.992674196
A2DVJ6OMVVYTC7,1.388888889,high,0.484081627,-0.324449441,-0.7995141,1.817661721,-1.209000606
A2EHH2ZFIRF1BF,0,low,0.465398734,-0.713000705,-2.934671544,0.117455041,-1.216426305
A2FFSM2AD8ME56,0.833333333,low,0.416331524,-0.085831048,0.261844854,3.04629007,-1.460643612
A2GEC6AUPJN0AK,2.333333333,high,0.601785336,0.008770483,0.997443912,-1.85810541,-1.993628798
A2H8I5RMCV8F9H,1,low,0.476760676,-0.00907272,0.656716489,1.681773219,0.717603874
A2MHY064OSYIBI,0.222222222,low,0.431796393,-2.80E-05,-1.297411241,2.372009556,-0.902822801
A2MX5YW3DSQ61W,0.333333333,low,0.455664231,-0.056632266,-0.122210578,2.26002045,-0.813756484
A2NAKIXS3DVGAA,0,low,0.437817612,-0.040097812,-3.116951651,0.846099462,-0.17378142
A2NHFSO7GMM8QR,0,low,0.625556943,0.012664287,0.999353644,-1.339620914,-1.886884993
A2OA3ZDP0Y3Q9U,0.111111111,low,0.441703429,-0.845811581,-3.428351585,0.287746162,-1.670108784
A2OO4PG3LBLP5I,0.176470588,low,0.445106396,-0.222485299,-0.369081186,2.470738557,-0.844215911
A2Q7AVDZ9TA6N,0.055555556,low,0.525156192,-0.046784768,-1.293174382,1.894103965,-0.142291961
A2SR85I8JMO1ZZ,0.666666667,low,0.444215788,-0.772123919,-2.931837143,0.612090864,-1.483195037
A2SV6TAIJO32BX,0.111111111,low,0.742654759,0.38586022,2.462535657,0.14796456,-1.372208416
A2UKP9VV7OULRX,0.055555556,low,0.635594196,-0.003404138,0.989412438,-1.042521991,-1.864533222
A2UR8ZKKO51K5N,1.222222222,high,0.618234236,-0.011106913,0.996595377,-1.458750804,-1.940444098
A2USG1JP96FTV,0,low,0.446094051,-0.205516255,-0.031044344,2.711655286,-1.296548052
A2Y5I2HJTRFR8H,0.055555556,low,0.459949713,-0.200212336,-1.185069692,1.855370876,-0.906170945
A2YP60DM1HYTH8,0,low,0.448294051,0.021092731,-0.578056478,2.597907769,-0.370574235
A2ZRL1ZWWXJ0L7,0.222222222,low,0.438935422,-0.162950848,-0.581530959,2.401538017,-0.937321393
A2ZYO0FHHESP4J,0,low,0.532711726,0.012644989,0.059865142,1.481147734,1.008419371
A30PLS3F9AM54J,0.111111111,low,0.44123812,-0.144963977,0.234452608,2.715375188,-0.522894709
A314XJY8V1YL12,0.611111111,low,0.429321592,-0.036671235,-0.903048086,2.163328625,-0.231903153
A33ST4DW1A4PGK,0.111111111,low,0.430087627,-0.545976889,-1.670626014,1.359716064,1.288341071
A34UER5ZQ5APMB,0.333333333,low,0.416268537,-0.927518441,-1.928364585,0.967090559,-0.275548808
A36W1S4Z2LSNTC,0,low,0.552994735,0.005257682,0.706959067,0.270321686,-1.138757245
A36ZRUGMKQA5KO,1.222222222,high,0.476454619,-0.119078048,-0.471967034,2.27041692,0.148827626
A3CH1Z6J9R38G9,0.888888889,high,0.441722391,-1.429280663,-2.965453814,0.480648343,-1.773538031
A3ET6NWQH4NNDG,0.166666667,low,0.477358862,-0.533553583,-1.239024049,1.008744806,0.082189431
A3F8K7ZV8AX8UR,2.111111111,high,0.586490662,-0.056252144,0.648947546,0.543131452,-0.645796868
A3GHXWLVYPFZKQ,1.777777778,high,0.518211161,-0.16341524,-0.292636528,0.735667099,1.480691684
A3GVUYY3TWRPZT,0.388888889,low,0.529163398,-0.128383919,-1.696619564,-0.225555057,-1.307839016
A3MCGKRH5KEZR8,2.5625,high,0.420597811,-0.783642972,-2.41015603,1.213073143,-0.830915493
A3OGOTSOMQTDMN,2,high,0.505135344,0.068089839,1.990761119,0.36418446,-1.490967782
A3OHYXTHW11HS7,0.388888889,low,0.52858917,-0.138212475,-0.798284731,1.621785456,0.797287738
A3OL2IJ8J3NPFT,2.5,high,0.445823342,-0.243219783,-1.203968473,1.553705741,-0.986207807
A3PGUPNMOU5BPW,0,low,0.522183853,-0.997135393,-2.272038147,-0.717058627,-1.267032657
A3PHU8OHA8PONE,0.222222222,low,0.438720263,-0.095248854,-2.824097645,0.980824103,-0.550687863
A3QUAM5Y482D4U,0.333333333,low,0.453223451,-0.047544305,-1.216134882,1.9114674,-0.938197675
A3RFHN13MRS8LA,1.277777778,high,0.474550285,-0.431857716,-1.57448316,0.697395275,1.166076166
A3RL02A3JRAUS4,1.666666667,low,0.468297546,-0.551007189,-3.325282791,-0.075010418,-1.053662162
A3VMKLJTSGYKHN,0.055555556,low,0.432146791,-0.013843442,-0.015255868,2.800532213,-1.035722334
A4RWSNLM3WVXU,2.055555556,high,0.538423655,-0.113321067,0.542030147,0.801550697,-0.857627176
A5BMKZRGHNSRT,0,low,0.642203969,-0.039782158,0.962320701,-0.898221155,-1.811073348
A5KY3NHA1TEU1,2,high,0.615855774,0.019237681,1.000502951,-1.540316504,-1.938983461
A5T9IFDZ3W4T6,1.222222222,high,0.464566176,-0.112430444,-1.002671259,1.315705899,-0.150604459
A6TSV1WPP3GG3,0,low,0.41068838,0.019287153,-0.054598047,2.605774711,0.387198757
A6WYBPPG8Y2Q4,0.166666667,low,0.449020399,-0.017369607,-1.540661407,1.185729109,0.581742974
A8I7F0DCNZVGS,3.722222222,high,0.453388986,-0.226198563,-1.660208025,1.238537222,-0.549578342
A8UJNIY9R8S7W,1.222222222,high,0.507335425,-0.013472531,1.400066674,0.264434995,-1.372154008
AC1Q894GHXZHR,0.277777778,low,0.460649753,0.02253914,-2.528443935,0.83547474,-0.641888076
ACPIVPK8OL94P,2.666666667,high,0.61952304,-0.019003215,0.974531749,-1.520977262,-1.91795122
ADAL2H41ZBWAK,0.888888889,low,0.465920511,-0.03207756,-0.623925225,1.764578614,0.236160633
AGDFBU9CK6Z9R,0,low,0.471097027,-0.128779862,-1.642671525,1.547011974,0.210380337
AJKB6GCZQNDUI,0.111111111,low,0.574166951,-0.208454065,0.330841421,0.360184028,-0.448233994
AK3H5QRAROFGP,0,low,0.393353684,-0.955895289,-3.918798321,1.178247714,-1.03402824
AKC9H6IX5YCG4,0.388888889,low,0.471064743,-0.462543854,-2.099759466,1.094524411,-0.401965664
AKLG79EPGKTDP,1.777777778,high,0.446542692,0.107191415,-1.227841141,2.233280768,-1.072880846
ALKQPW0O9C98N,0.333333333,low,0.485594276,0.007564144,-0.325211911,2.006239785,0.381902707
ANBWJZYU2A68T,0,low,0.46998504,0.067373588,0.109826034,2.572117591,-0.418290728
AOWY4TEB0UCMX,0,low,0.452814643,-0.693958885,-1.485164353,1.461425359,-0.111281028
AP26GRD3QSPRP,0,low,0.533689613,-0.004875962,0.082756536,1.016148832,-0.706679406
AQV468FB908WI,0.277777778,low,0.440294498,-0.341136962,-2.557318231,1.171859117,-1.251478142
ASC9DUCC64M3P,0.111111111,low,0.482973594,-0.065031623,-0.969183441,1.748497976,0.601452853
AW02W1A865GT4,0.555555556,low,0.418303584,-0.038076695,-2.458376545,1.838337114,-1.22573777
AW0XXNPFHP7XD,0.277777778,low,0.41559982,-0.030116439,-0.410526617,2.208069182,0.704866553
AW6O5FZEZ6EBX,3,high,0.54862982,0.037569958,0.497371922,0.026618743,-0.498736737
AWE9A4ZOP9LNU,0,low,0.44782769,-1.409461299,-3.02695901,0.583881698,-1.800000154
AX9DKJZE40514,2.722222222,high,0.62283368,0.011221058,1.001766332,-1.316746669,-1.894914432
AXG6YDR6J58B,3.277777778,high,0.6199582,-0.014290873,0.965848771,-1.350439022,-1.86696797
AXY0D2AMLKE2A,0,low,0.430216527,0.135279946,-0.582830654,2.434283132,-1.288572611
AZ8JL3QNIPY4U,0.388888889,low,0.464520282,-0.44265621,-1.98381374,0.993648572,-0.122645564
